시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,아침해유치원,경기도 화성시 만세구 남양읍 시청로32번길 74-2,경기도 화성시 만세구 남양읍 남양리 2309-4번지,37.20111897,126.8216157,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,아해뜰어린이집,경기도 화성시 병점구 안녕북길 27,경기도 화성시 병점구 안녕동 180-93번지,37.20719389,126.9831869,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,,경기도 화성시 병점구 화산로 2,경기도 화성시 병점구 안녕동 50-8번지,37.20589222,127.0085343,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,안화초등학교,경기도 화성시 병점구 병점3로 132-5,경기도 화성시 병점구 병점동 851번지,37.21284997,127.0473692,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,양감초등학교,경기도 화성시 만세구 양감면 초록로 49,경기도 화성시 만세구 양감면 신왕리 475-1번지,37.08148848,126.951662,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,여울초등학교,경기도 화성시 동탄구 동탄감배산로 95,경기도 화성시 동탄구 오산동 987번지,37.19510443,127.0889442,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,영천유치원,경기도 화성시 동탄구 동탄순환대로29길 46,경기도 화성시 동탄구 영천동 674번지,37.20507243,127.1073242,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,영천초등학교,경기도 화성시 동탄구 동탄영천로 36,경기도 화성시 동탄구 영천동 671번지,37.20571176,127.1045574,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,예당초등학교,경기도 화성시 동탄구 동탄반석로 245,경기도 화성시 동탄구 석우동 54번지,37.21058745,127.0752137,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,예솔초등학교,경기도 화성시 동탄구 동탄순환대로22길 13,경기도 화성시 동탄구 청계동 553번지,37.19655044,127.1193973,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,예원유치원,경기도 화성시 병점구 동탄숲속로35번길 26-14,경기도 화성시 병점구 능동 479번지,37.21178196,127.0522932,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,예원초등학교,경기도 화성시 동탄구 동탄반석로 259,경기도 화성시 동탄구 석우동 52번지,37.21116575,127.076189,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,예일유치원,경기도 화성시 효행구 기안남로 21,경기도 화성시 효행구 기안동 908번지,37.22021075,126.9869214,경기도 화성시 효행구 안전건설과,화성동탄경찰서,N,,,2026-02-01
유치원,오즈의마법사유치원,경기도 화성시 동탄구 금반1길 14-17,경기도 화성시 동탄구 반송동 175-1번지,37.18828484,127.069693,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,와우초등학교,경기도 화성시 효행구 봉담읍 식골길 14,경기도 화성시 효행구 봉담읍 동화리 188번지,37.22010434,126.9719098,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,왕배초등학교,경기도 화성시 동탄구 동탄대로12길 101,경기도 화성시 동탄구 목동 446번지,37.18014215,127.1135575,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,우림유치원,경기도 화성시 만세구 남양읍 남양성지로 22-4,경기도 화성시 만세구 남양읍 남양리 415-4번지,37.2051909,126.8062897,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,우정초등학교,경기도 화성시 만세구 우정읍 버들로 138-10,경기도 화성시 만세구 우정읍 조암리 631-1번지,37.08139474,126.8001499,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,월문초등학교,경기도 화성시 만세구 팔탄면 버들로 1537,경기도 화성시 만세구 팔탄면 월문리 192번지,37.11888442,126.8726594,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,율목초등학교,경기도 화성시 병점구 영통로50번길 19,경기도 화성시 병점구 반월동 879번지,37.23705501,127.0643588,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
어린이집,으뜸어린이집,경기도 화성시 병점구 용주로12번길 18,경기도 화성시 병점구 송산동 100-100번지,37.20677925,127.0162989,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
유치원,이룸유치원,경기도 화성시 만세구 향남읍 상신초교길 37,경기도 화성시 만세구 향남읍 상신리 846번지,37.09496336,126.9025858,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
